time [s],neg_0,pos_1,pos_2,neg_3,pos_4
0.0,-0.015579100000000002,0.0078431,-0.0137938,-0.0019074,-0.0132905
0.0001,-0.015274199999999998,0.0077515,-0.0139159,-0.0019225,-0.013138
0.0002,-0.0144043,0.0084533,-0.0141296,-0.0018922000000000001,-0.012939500000000001
0.0003,-0.015060400000000002,0.008667,-0.013900699999999998,-0.0019684,-0.0126496
0.0004,-0.015899600000000003,0.0090332,-0.013808999999999998,-0.0022887,-0.0121766
0.0005,-0.0161744,0.0090486,-0.014511199999999998,-0.0029146,-0.0122223
0.0006,-0.016189600000000002,0.008850199999999999,-0.014511099999999999,-0.0032959,-0.011917
0.0007,-0.0160218,0.0083162,-0.0146942,-0.003586,-0.0116579
0.0008,-0.0161132,0.0083162,-0.014571899999999999,-0.0037079,-0.011612
0.0009,-0.0163725,0.0086976,-0.0146331,-0.0039063,-0.011352600000000001
0.001,-0.016326800000000002,0.009475800000000001,-0.014877199999999998,-0.0041808,-0.0110169
0.0011,-0.016311700000000002,0.009567200000000001,-0.014724699999999999,-0.0045623999999999994,-0.010681099999999999
0.0012,-0.0161438,0.0093384,-0.0150605,-0.0049286,-0.010284499999999999
0.0013,-0.0159761,0.0095367,-0.0153044,-0.005188,-0.009689300000000001
0.0014,-0.01593,0.009796299999999999,-0.014785699999999999,-0.0054321000000000005,-0.0087586
0.0015,-0.0158234,0.0101929,-0.014831500000000001,-0.0056153,-0.0078125
0.0016,-0.0155336,0.01062,-0.0144958,-0.0059358,-0.0070037
0.0017,-0.0150756,0.0113069,-0.0138854,-0.0061954,-0.0059967
0.0018,-0.0144806,0.012085,-0.013351499999999999,-0.0064697,-0.004883
0.0019,-0.0137024,0.0132293,-0.012710599999999999,-0.0066984,-0.0038148
0.002,-0.0128937,0.013488700000000001,-0.012497,-0.0069427,-0.0028535
0.0021,-0.0122527,0.012390100000000001,-0.0120545,-0.0070955,-0.0001678
0.0022,-0.0114442,0.0123748,-0.011230599999999999,-0.0072785,0.0003053
0.0023,-0.0107424,0.0124969,-0.0106353,-0.0074769,0.0005645
0.0024,-0.0102843,0.0135649,-0.010116400000000001,-0.007782,0.0010985
0.0025,-0.009552,0.014877399999999999,-0.0098269,-0.0080719,0.0014038
0.0026,-0.009124799999999999,0.0157163,-0.009338299999999999,-0.0082854,0.0019531
0.0027,-0.0084382,0.015274100000000002,-0.008850199999999999,-0.0080719,0.0025481999999999996
0.0028,-0.0078126,0.014618,-0.0084229,-0.0080721,0.0030975
0.0029,-0.0072632,0.014663599999999999,-0.0073699,-0.0084534,0.0036471000000000003
0.003,-0.006713800000000001,0.015517999999999999,-0.0065003000000000005,-0.0088655,0.0035555000000000005
0.0031,-0.00589,0.0172423,-0.0057831,-0.009490799999999999,0.0038148
0.0032,-0.005188,0.0180817,-0.0047607000000000005,-0.0097656,0.0041046
0.0033,-0.0042876,0.0195313,-0.0038605,-0.0098419,0.0044250999999999995
0.0034,-0.0032349999999999996,0.020690999999999998,-0.003418,-0.010070899999999999,0.0048370999999999996
0.0035,-0.0024871999999999997,0.020873999999999997,-0.0008392,-0.0104675,0.0049896
