time [s],neg_0,pos_1,pos_2,neg_3,pos_4
0.0,0.20907589999999998,0.27832029999999996,0.2676696,0.2532654,0.1989288
0.0001,0.20539849999999998,0.2608489,0.22938550000000002,0.2601013,0.2364655
0.0002,0.2141114,0.2361145,0.2159119,0.2782441,0.2224274
0.0003,0.2306061,0.22796629999999998,0.2664949,0.2860259,0.20224000000000003
0.0004,0.30429080000000003,0.2049102,0.2087555,0.2426911,0.2512664
0.0005,0.265686,0.20973190000000003,0.2610474,0.2848052,0.2960205
0.0006,0.2266084,0.2433013,0.3358918,0.1996461,0.25849920000000004
0.0007,0.24028010000000002,0.2724457,0.2761994,0.2589568,0.2633973
0.0008,0.2353668,0.2178039,0.2450714,0.26202380000000003,0.21131899999999998
0.0009,0.23753349999999998,0.2410125,0.2152711,0.2995147,0.2209016
0.001,0.2214662,0.2355652,0.22604370000000001,0.25383,0.22666930000000002
0.0011,0.2654573,0.2098999,0.2349091,0.21879569999999998,0.2980958
0.0012,0.3071747,0.23385620000000001,0.2911835,0.240921,0.296936
0.0013,0.2909088,0.33305379999999996,0.289093,0.2834321,0.2657163
0.0014,0.23451249999999998,0.265869,0.3180848,0.2080992,0.21911619999999998
0.0015,0.20271309999999998,0.22962950000000001,0.20135490000000003,0.256958,0.2221222
0.0016,0.2261352,0.21354679999999998,0.2360382,0.2472536,0.2118379
0.0017,0.24703979999999998,0.1893616,0.23280340000000002,0.2739868,0.24705490000000002
0.0018,0.29206849999999995,0.2093658,0.2566681,0.26409920000000003,0.29185479999999997
0.0019,0.3236542,0.2195589,0.27191160000000003,0.2102815,0.2815399
0.002,0.24278270000000002,0.2511138,0.2738647,0.2531129,0.25451670000000004
0.0021,0.2556,0.28320310000000004,0.2568207,0.1952209,0.222641
0.0022,0.2146761,0.2947692,0.2430267,0.2503206,0.2095031
0.0023,0.22515860000000001,0.2610015,0.2134552,0.31097410000000003,0.24176009999999998
0.0024,0.2447204,0.1869355,0.2455445,0.24891649999999998,0.24691770000000002
0.0025,0.24880969999999997,0.2206421,0.2297668,0.2655793,0.2343903
0.0026,0.2952728,0.2500001,0.29887410000000003,0.22947679999999998,0.27365110000000004
